PART_NO,KPDS,CAR_CLASS,PIDT,REPAIR_TYPE,TYPE_CODE,CONSTRUCT_NAME
85969V59E9,风扇电机,B-SEDAN,17-Oct-07,维修,机能件,电器
869594P9E9,螺栓,B-SEDAN,13-May-16,维修,易损件,发动机
86954TAE99,水箱盖,A-SEDAN,20-Apr-04,维修,机能件,发动机
8994948FL4,加水漏斗,A0-SUV,23-Sep-14,维修,机能件,发动机
818984V899,水箱回水壶,A0-SEDAN,18-Mar-14,维修,机能件,发动机
888983E9E9,水箱回水壶,B-SEDAN,10-Jan-18,维修,机能件,发动机
84898VQJ99,水箱回水壶,B-MPV,12-Jun-09,维修,机能件,发动机
82898VV7L9,水箱回水壶,A-SEDAN,14-Oct-08,维修,机能件,发动机
87896VEEE9,水箱回水壶软管,B-SEDAN,30-Jul-02,维修,易损件,发动机
8289544ED9,附水箱软管 B,A0-SEDAN,27-May-15,维修,易损件,发动机
848954V899,水箱回水壶软管,A0-SEDAN,18-Mar-14,维修,易损件,发动机
82893TE997,水箱回水壶软管接头,B-SEDAN,30-Jul-02,维修,机能件,发动机
8989248FL9,水箱胶管接头,A0-SUV,6-Aug-14,维修,机能件,发动机
868844E7E9,回水壶支架,B-SEDAN,10-Jul-13,维修,机能件,发动机
8688149DK9,软管卡箍A,A0-SUV,29-Apr-19,维修,机能件,发动机
828813E9E9,软管卡箍A,B-SEDAN,10-Jan-18,维修,机能件,发动机
8979948FL9,水泵,A0-SUV,6-Aug-14,维修,机能件,发动机
89799V8TY9,水泵,B-SEDAN,17-Oct-07,维修,机能件,发动机
81777VEH99,水泵垫,B-SUV,30-Jul-02,维修,易损件,发动机
88777VSEE9,水泵垫,A0-SUV,17-Oct-07,维修,易损件,发动机
82684VSEE9,通水口盖组件,A0-SUV,17-Oct-07,维修,机能件,发动机
84677TGB99,Ｏ型圈,B-SUV,30-Jul-02,维修,机能件,发动机
84677VEEE9,密封圈,B-SUV,30-Jul-02,维修,机能件,发动机
896743T2L9,软管,A-SEDAN,19-Jul-18,维修,易损件,发动机
885784V999,进气软管,A0-SEDAN,5-Mar-14,维修,机能件,发动机
865774V999,排气软管,A0-SEDAN,5-Mar-14,维修,机能件,发动机
8749844RL9,上水管,A0-SEDAN,27-May-15,维修,易损件,发动机
874983E8L9,橡胶软管,B-SEDAN,10-Jan-18,维修,易损件,发动机
86498V59E9,水箱上水管,B-SUV,17-Oct-07,维修,易损件,发动机
85498VELL9,水箱上水管,B-SEDAN,30-Jul-02,维修,易损件,发动机
82498VJKA9,水箱上水管,B-MPV,28-Sep-04,维修,易损件,发动机
88498VV7L9,上水软管,A-SEDAN,14-Oct-08,维修,易损件,发动机
8549748FL9,下水管,A0-SUV,6-Aug-14,维修,易损件,发动机
8749742VL9,水箱下水管,A-SEDAN,18-Apr-13,维修,易损件,发动机
824974V999,水箱下水管,A0-SEDAN,5-Mar-14,维修,易损件,发动机
814973T2L9,水软管,A-SEDAN,30-Aug-18,维修,易损件,发动机
89497VELL9,水箱下水管,B-SEDAN,30-Jul-02,维修,易损件,发动机
824964N7E4,三通管,B-SEDAN,12-Jun-18,维修,机能件,发动机
81494VSEE9,连接管,A0-SUV,17-Oct-07,维修,机能件,发动机
81493V8EE9,软管,A0-SUV,18-Apr-13,维修,易损件,发动机
85493VF999,软管,A0-SEDAN,15-May-08,维修,易损件,发动机
88493VSEE9,节气门进气软管,A0-SEDAN,17-Oct-07,维修,易损件,发动机
84492V39Y9,节气门排气软管,B-SEDAN,17-Oct-07,维修,易损件,发动机
81491V59E9,软管,B-SUV,22-Aug-07,维修,易损件,发动机
87491VJKA9,软管,B-MPV,28-Sep-04,维修,易损件,发动机
85490V59E9,节气门排气软管,B-SUV,22-Aug-07,维修,易损件,发动机
82490VSEE9,软管,A0-SUV,17-Oct-07,维修,机能件,发动机
89488VF999,水管夹,A0-SEDAN,6-Sep-10,维修,机能件,发动机
864874E7E9,管夹子,B-SEDAN,9-May-13,维修,机能件,发动机
81487TP799,油冷却软管卡箍,A-SEDAN,17-Oct-01,维修,机能件,发动机
85485V59E9,通气管Ａ,B-SUV,17-Oct-07,维修,机能件,发动机
86485VEEE9,通气管Ａ,B-SEDAN,30-Jul-02,维修,机能件,发动机
85478TX799,水泵软管Ａ,B-MPV,17-Oct-01,维修,易损件,发动机
88477TX799,水泵软管Ｂ,B-MPV,17-Oct-01,维修,易损件,发动机
854714EEE9,软管,B-SEDAN,11-Jan-17,维修,易损件,发动机
824713E9E9,回水管,B-SEDAN,10-Jan-18,维修,易损件,发动机
86471VF899,软管,A0-SEDAN,15-May-08,维修,易损件,发动机
8347040F99,软管,B-SEDAN,5-May-16,维修,易损件,发动机
874593E9E9,回水管组件,B-SEDAN,10-Jan-18,维修,易损件,发动机
844364V999,加热管,A0-SEDAN,18-Apr-14,维修,易损件,发动机
872983E9E9,中冷器上右支架组件,B-SEDAN,10-Jan-18,维修,钣金件,发动机
842983S999,中冷器上右支架组件,A0-SUV,19-Mar-19,维修,钣金件,发动机
812973E9E9,中冷器上左支架组件,B-SEDAN,10-Jan-18,维修,钣金件,发动机
882964RCL9,中冷器下右支架组件,B-SUV,11-Jan-17,维修,钣金件,发动机
812893S999,中冷器组件,A0-SUV,19-Mar-19,维修,钣金件,发动机
892863T2L9,导流板,A-SEDAN,4-Jul-18,维修,机能件,发动机
881393G7L9,蓄电池信息标签,B-SEDAN,9-Jun-18,维修,机能件,发动机
74455VGX99,离合器盘,B-MPV,28-Sep-04,维修,易损件,变速箱
75178VJ199,离合器拨叉,A0-SEDAN,15-Mar-08,维修,机能件,变速箱
72164T9W99,弹簧,A0-SEDAN,19-Aug-99,维修,机能件,变速箱
74764TVT99,盖板,B-SUV,30-Jul-02,维修,机能件,变速箱
78764VTG99,盖板,A0-SEDAN,18-Nov-05,维修,机能件,变速箱
76098VF997,控制拉线固定盖,A0-SEDAN,15-May-08,维修,机能件,变速箱
79788VJI99,自动变速箱油管,B-MPV,28-Sep-04,维修,机能件,变速箱
765794G599,变速箱油过滤器,B-SEDAN,8-Aug-13,保养,滤清器,变速箱
72569V4Q99,自动变速箱油滤清器,B-SUV,15-Feb-12,保养,滤清器,保养
7349932FL9,变速箱油冷却器,B-SEDAN,20-Nov-19,维修,机能件,变速箱
714354QN99,O型圈,B-SEDAN,26-Jun-15,其它,召回件,底盘
744344QNE9,O型圈,B-SEDAN,23-May-15,其它,召回件,变速箱
713844X999,罩盖,A0-SEDAN,12-Mar-14,维修,机能件,变速箱
78384VGQ99,波箱油盖,B-MPV,30-Jul-02,维修,机能件,变速箱
799994X9E9,油压调节阀,A0-SEDAN,12-Mar-14,维修,机能件,变速箱
73737TVT99,垫片,B-SUV,30-Jul-02,维修,机能件,变速箱
63889TG399,Ｏ型圈,B-MPV,1-Jan-99,维修,机能件,电器
664794E7E9,线圈组件,B-MPV,10-Jul-13,维修,机能件,电器
654794V998,线圈组件,A0-SEDAN,5-Mar-14,维修,机能件,电器
63479VF9W9, 线圈组件,A0-SEDAN,7-Nov-11,维修,机能件,电器
66479VSEE9,线圈组件,A0-SEDAN,22-Aug-07,维修,机能件,电器
66479VVE99,线圈组件,B-MPV,30-Jul-02,维修,机能件,电器
68477VSEE9,线圈密封件,A0-SEDAN,22-Aug-07,维修,机能件,电器
66899VDTK9,发电机总成,B-SEDAN,17-Oct-07,维修,机能件,电器
65894VEEE9,发电机炭刷,B-MPV,30-Jul-02,维修,机能件,电器
6788940F98,ACG皮带,B-SUV,5-May-16,维修,易损件,易损件
658894K9E9,发电机皮带,B-SEDAN,10-Jul-13,维修,易损件,易损件
67889VAP99,发电机皮带,A0-SEDAN,20-Aug-08,维修,易损件,易损件
68885VDTK9,安装支架,B-SEDAN,20-Dec-07,维修,机能件,电器
6782948FL9,自动张紧器,A0-SUV,19-Aug-14,维修,机能件,易损件
65829V9E97,张紧器总成,B-SEDAN,18-Apr-13,维修,机能件,易损件
61829VDTK9,张紧器总成,B-SEDAN,17-Dec-07,维修,机能件,易损件
68820V9E99,水力张紧器装置,B-SEDAN,18-Apr-13,维修,机能件,易损件
66810V9E98,张紧器皮带轮,B-SEDAN,18-Apr-13,维修,机能件,易损件
6879941VY9,起动机,A0-SEDAN,18-Jan-17,维修,机能件,电器
69799V59V9,起动机,B-SUV,17-Oct-07,维修,机能件,电器
6649EX7EL9,蓄电池(70D23L-MF),B-SEDAN,17-Oct-01,通竞,电瓶,易损件
6849EX5SL9,蓄电池,B-SEDAN,10-Sep-19,通竞,电瓶,易损件
6249EX4LL9,蓄电池，N-55(S),A0-SEDAN,5-Mar-14,通竞,电瓶,易损件
6549EX3HL9,蓄电池（S-95L）,B-MPV,5-Jun-14,通竞,电瓶,易损件
6449EX3QL9,蓄电池（Q-85）,A-SEDAN,2-Sep-15,通竞,电瓶,易损件
6849EX2NL9,蓄电池(L2 EFB ),A0-SUV,19-Aug-14,通竞,电瓶,易损件
6749EXFXL9,蓄电池,A-SEDAN,19-Jul-18,通竞,电瓶,易损件
6949EXIXL9,蓄电池(L2 EFB),B-SEDAN,5-May-16,通竞,电瓶,易损件
6249EXLEL9,蓄电池(L3 EFB),B-SUV,3-Sep-16,通竞,电瓶,易损件
6249EXRFL9,蓄电池（55B24R(S)-MF,B-SEDAN,6-Jul-18,通竞,电瓶,易损件
6449EXZEL9,蓄电池,B-SEDAN,10-Jan-18,通竞,电瓶,易损件
68487X3TL9,电池组板,A-SEDAN,20-Aug-15,维修,机能件,电器
61487XE709,电池组板,B-SEDAN,17-Oct-07,维修,机能件,电器
64486WHEE9,螺栓,B-SEDAN,9-Sep-02,维修,机能件,电器
61486WHF99,螺栓,B-MPV,13-Sep-02,维修,机能件,电器
66486WIJK9,螺栓,B-SEDAN,27-Aug-14,维修,机能件,电器
62486X7EE9,螺栓,B-SEDAN,10-Jul-13,维修,机能件,电器
64478X2EL9,蓄电池盒,A0-SUV,27-Aug-14,维修,机能件,电器
63478XE9E9,蓄电池盒,B-SUV,17-Oct-07,维修,机能件,电器
68478XE709,蓄电池盒,B-SEDAN,17-Oct-07,维修,机能件,电器
65478XFXL9,蓄电池盒,A-SEDAN,19-Jul-18,维修,机能件,电器
67478XZEE8,蓄电池盒,B-SEDAN,13-Jan-18,维修,机能件,电器
68468X4E99,蓄电池盒盖,A0-SEDAN,18-Mar-14,维修,机能件,电器
68468XE9E9,蓄电池盒盖,B-SUV,17-Oct-07,维修,机能件,电器
67468XAEE9,蓄电池绝缘盒,B-SEDAN,9-Jun-18,维修,机能件,电器
65887XA9L9,发动机线束支架,B-SUV,2-Aug-10,维修,机能件,电器
65879V8EE9,发动机线束盖,B-SEDAN,18-Apr-13,维修,机能件,电器
648784V999,支架,A-SEDAN,5-Mar-14,维修,机能件,电器
68877VWE99,发动机线束支架,A-SEDAN,17-Aug-09,维修,机能件,电器
668684V999,线束固定架,A-SEDAN,5-Mar-14,维修,机能件,电器
69868XLEL9,线束,B-SUV,5-Aug-16,维修,机能件,电器
63865XFXL9,后保险杆内线束,A-SEDAN,19-Jul-18,维修,机能件,电器
68581TSH69,电池端盖,B-SEDAN,30-Jul-02,维修,机能件,电器
66581X2E99,电池端盖,A0-SUV,28-Jul-14,维修,机能件,电器
65899X4EL9,右前大灯总成,A0-SEDAN,18-Mar-14,维修,钣金件,电器
69899X3EL4,右前大灯总成,B-MPV,31-May-18,维修,钣金件,电器
63899X3TL8,右前大灯总成,A-SEDAN,9-Apr-13,维修,钣金件,电器
61899X29L5,右前大灯总成,B-SEDAN,12-Sep-19,维修,钣金件,电器
65899XLEL6,右前大灯总成,B-SUV,3-Jan-20,维修,钣金件,电器
66898X2EN4,右盖,A0-SUV,22-Mar-19,维修,钣金件,电器
67894X3TL9,右前大灯支架,A-SEDAN,29-Oct-14,维修,钣金件,电器
67890W3EN2,密封垫,B-SUV,17-Oct-07,维修,机能件,电器
63884W15E8,大灯灯泡,B-SEDAN,2-Apr-01,维修,易损件,易损件
67884WZ599,大灯灯泡,A0-SEDAN,19-Mar-03,维修,易损件,易损件
61883W3R99,接合器总成,B-MPV,11-Nov-04,维修,机能件,易损件
69883W15E8,大灯灯泡,B-SEDAN,2-Apr-01,维修,易损件,易损件
62880XE999,控制单元,B-SUV,24-Sep-07,维修,机能件,电器
69873WHEE9,橡胶盖,B-SEDAN,30-Jul-02,维修,机能件,电器
64870XE999,高亮度灯泡点亮器,B-MPV,24-Sep-07,维修,机能件,电器
64849X0EL9,左前大灯总成,A0-SEDAN,2-Jun-15,维修,钣金件,电器
67849XFXL9,左前大灯总成,A-SEDAN,19-Jul-18,维修,钣金件,电器
68849XLEL6,左前大灯总成,B-SUV,3-Jan-20,维修,钣金件,电器
67849XDEL9,左前大灯总成,A0-SEDAN,5-Jun-20,维修,钣金件,电器
67848X2EN4,左前门外拉把手盖,A0-SUV,22-Mar-19,维修,钣金件,电器
65844X3TL9,左前大灯支架,A-SEDAN,29-Oct-14,维修,钣金件,电器
68698WX2N9,转向灯灯泡,B-MPV,11-Nov-04,维修,易损件,易损件
63698X7EL9,灯泡,B-SEDAN,10-Jul-13,维修,易损件,易损件
64698XE9H9,插座组件,B-SEDAN,18-Oct-10,维修,机能件,易损件
63697W4EE9,插座,B-SUV,2-Aug-10,维修,机能件,电器
61696WEE99,插座,A0-SEDAN,30-Jul-02,维修,机能件,电器
66696WX2N9,插座,B-MPV,11-Nov-04,维修,机能件,电器
67696X7EE9,插座,A0-SEDAN,18-Mar-14,维修,机能件,电器
62499X3G99,右后尾灯(翼灯),B-MPV,21-Feb-19,维修,钣金件,电器
61499XLEL6,右尾灯总成,B-SUV,3-Jan-20,维修,钣金件,电器
67497WJNA9,左后尾灯,B-MPV,11-Nov-04,维修,钣金件,电器
61497X2EN6,右后尾灯,A0-SUV,22-Mar-19,维修,钣金件,电器
66497XLEL6,右支架,B-SUV,3-Jan-20,维修,钣金件,电器
62497XDEL9,右尾灯饰板,A0-SEDAN,5-Jun-20,维修,钣金件,电器
67496WQI99,盖子,B-MPV,17-Jun-09,维修,机能件,电器
68494WJNA9,尾灯边框罩,B-MPV,11-Nov-04,维修,钣金件,电器
64449XLEL6,左尾灯总成,B-SUV,3-Jan-20,维修,钣金件,电器
69447XLEL6,左支架,B-SUV,3-Jan-20,维修,易损件,电器
62447XDEL9,左尾灯饰板,A0-SEDAN,5-Jun-20,维修,易损件,电器
62444W0EL9,左后回复反射器总成,B-MPV,30-Aug-05,维修,钣金件,电器
68444XA9L9,左后反光灯,B-SUV,2-Aug-10,维修,钣金件,电器
67099WQKL4,右前雾灯总成,B-MPV,14-May-12,维修,钣金件,电器
65099XFXL9,右前雾灯,A-SEDAN,19-Jul-18,维修,钣金件,电器
62099XFXL8,右前雾灯,A-SEDAN,19-Jul-18,维修,钣金件,电器
66049WQKL9,左前雾灯总成,B-MPV,17-Jun-09,维修,钣金件,电器
62049XFXL9,左前雾灯,A-SEDAN,19-Jul-18,维修,钣金件,电器
67049XA9L9,左前雾灯总成,B-SUV,2-Aug-10,维修,钣金件,电器
66899XZEL8,牌照灯总成,B-SEDAN,13-Jan-18,维修,钣金件,电器
63899XBIL9,带牌照灯尾门拉手,B-SEDAN,12-Sep-19,维修,钣金件,电器
67898WSZL9,牌照灯灯罩,A0-SEDAN,23-Oct-08,维修,钣金件,电器
63894X7EL9,牌照灯外壳,B-SEDAN,10-Jul-13,维修,钣金件,电器
67893WSF98,牌照灯灯罩,B-SEDAN,17-Oct-07,维修,钣金件,电器
69849X4EN9,右后尾盖灯,A0-SEDAN,18-Mar-14,维修,钣金件,电器
65849XFXL9,右后尾盖灯,A-SEDAN,19-Jul-18,维修,钣金件,电器
64849XZEL8,右后尾盖灯,B-SEDAN,28-Feb-18,维修,钣金件,电器
67849XDEL4,右后尾盖灯,A0-SEDAN,5-Jun-20,维修,钣金件,电器
68848WHEL9,右后尾盖灯,B-SEDAN,30-Jul-02,维修,钣金件,电器
64844X4EN9,左后尾盖灯,A0-SEDAN,18-Mar-14,维修,钣金件,电器
62844X4EX9,左后尾盖灯,A0-SEDAN,14-Jun-16,维修,钣金件,电器
62844XDEL4,左后尾盖灯,A0-SEDAN,5-Jun-20,维修,钣金件,电器
63746XT4L9,灯泡,B-SEDAN,18-Oct-10,维修,易损件,易损件
64739X3EL9,行李箱灯总成,B-SEDAN,19-Jul-17,维修,易损件,电器
61738X3QL9,门灯灯罩,B-SUV,16-May-16,维修,机能件,电器
62738XQ999,灯罩,B-SEDAN,24-Apr-09,维修,机能件,电器
61734WJI99,左侧灯灯罩,B-SUV,31-Oct-04,维修,机能件,电器
68698WEEL9,侧边转向灯,A0-SEDAN,19-Mar-03,维修,钣金件,电器
67696WB999,前大灯灯座,A0-SEDAN,20-Apr-04,维修,机能件,电器
6464834207,前大灯灯泡,B-SUV,9-Jul-99,维修,易损件,易损件
66598WHEE7,右灯罩,B-SEDAN,30-Jul-02,维修,钣金件,电器
69595WHEE7,灯座,B-SUV,13-Feb-07,维修,机能件,电器
64595WJI97,灯座,B-MPV,3-Jan-08,维修,机能件,电器
62595X7EL9,灯座,B-SEDAN,10-Jul-13,维修,机能件,电器
63499X29L9,后雾灯,B-SEDAN,12-Sep-19,维修,钣金件,电器
66098XP1E9,灯泡,B-SUV,10-Jul-13,维修,易损件,电器
67093WF399,灯泡,A0-SEDAN,2-Jun-15,维修,易损件,易损件
68897XV999,限力矩螺栓,B-SEDAN,9-Apr-13,维修,机能件,电器
69885W2EL9,遥控钥匙下盒,B-MPV,20-Apr-04,维修,机能件,电器
69885WHEL9,遥控钥匙下盒,B-SEDAN,30-Jul-02,维修,机能件,电器
64885X7EL9,点火钥匙组件,B-SEDAN,9-Apr-13,维修,机能件,电器
62883WHEE8,螺栓,A0-SEDAN,24-Dec-02,维修,机能件,电器
69809X2EN8,遥控后视镜开关总成,B-SUV,2-Aug-17,其它,召回件,电器
66644XLEL9,开关组件,B-SUV,6-Jan-17,维修,机能件,电器
62599W4E98,车门开关总成,B-SEDAN,19-Mar-03,维修,机能件,电器
65599X2EN9,门控开关,B-SEDAN,16-May-16,维修,机能件,电器
63529XA999,角位传感器开关,B-SUV,2-Aug-10,维修,机能件,电器
6949430799,灯泡,A0-SEDAN,21-Jan-00,维修,易损件,易损件
68494W6999,灯泡,B-SEDAN,1-Jan-99,维修,易损件,易损件
61249X7EL9,驾驶员侧窗开关总成,B-SEDAN,10-Jul-13,维修,机能件,电器
68249X7EL9,电动车窗主开关总成,B-SEDAN,21-Jan-16,维修,机能件,电器
67249X7EL7,驾驶员侧窗开关总成,B-SEDAN,10-Jul-13,维修,机能件,电器
66249X4LL9,驾驶员侧窗开关总成,A0-SEDAN,18-Mar-14,维修,机能件,电器
69249XF9L8,驾驶员侧窗开关总成,B-SEDAN,31-Aug-09,维修,机能件,电器
62249XZEL8,电动车窗主开关总成,B-SEDAN,13-Jan-18,维修,机能件,电器
64149XE9K1,灯泡,B-SUV,2-Aug-10,维修,易损件,易损件
65119XDEV4,音响开关,A0-SEDAN,5-Jun-20,维修,机能件,电器
66118X5SL9,启动开关,A0-SUV,3-Jun-14,维修,机能件,电器
67834VEEE9,载断管,B-SEDAN,30-Jul-02,维修,机能件,电器
67827T1EE9,垫片,B-SEDAN,24-Oct-00,维修,机能件,电器
66716VEEE9,空气加速器管,B-MPV,30-Jul-02,维修,机能件,电器
67468V59L9,前氧传感器,B-SUV,17-Oct-07,维修,机能件,电器
64196X26L9,雷达组件,B-SEDAN,10-Jul-19,维修,机能件,电器
66196XAFL9,雷达组件,B-SEDAN,9-Jun-18,维修,机能件,电器
69194X29L9,雷达支架组件,B-SEDAN,12-Sep-19,维修,机能件,电器
67009XE999,智能钥匙插槽控制单元,B-SUV,17-Oct-07,维修,机能件,电器
67549XPSL9,声音警报总成,B-SEDAN,20-Feb-19,维修,机能件,电器
6717849AL9,ECU支架,A0-SUV,14-Jan-15,维修,机能件,电器
63899WHFL9,低音喇叭总成,B-SEDAN,20-Apr-04,维修,机能件,易损件
62899WSZL8,低音喇叭总成,A0-SEDAN,18-Mar-14,维修,机能件,易损件
61899XLEL8,低音喇叭总成,B-SUV,5-Aug-16,维修,机能件,易损件
66898XLEL9,喇叭支架,B-SUV,5-Aug-16,维修,机能件,电器
66849WHFL9,高音喇叭总成,B-SEDAN,5-Dec-04,维修,机能件,电器
63849WSEL9,高音喇叭总成,A0-SEDAN,15-May-08,维修,机能件,电器
64848X3TL9,喇叭支架,A-SEDAN,9-Apr-13,维修,机能件,易损件
64778WSEE6,保险丝片,B-SEDAN,17-Oct-07,维修,机能件,电器
67778WSEE5,保险丝片,B-SEDAN,17-Oct-07,维修,机能件,电器
66778WSEE3,保险丝片,B-SEDAN,17-Oct-07,维修,机能件,电器
67768WHEE9,保险丝,A-SEDAN,30-Jul-02,维修,机能件,易损件
65768WQN99,保险丝,B-SEDAN,17-Oct-07,维修,机能件,易损件
69767XE9E8,保险丝,B-SUV,17-Oct-07,维修,机能件,易损件
67766XZEE9,保险丝,B-SEDAN,13-Jan-18,维修,机能件,易损件
66746X4E09,继电器盒上盖,A0-SEDAN,18-Mar-14,维修,机能件,电器
62746X3TL9,继电器盒上盖,A-SEDAN,9-Apr-13,维修,机能件,电器
66743XFXL9,继电器盒,A-SEDAN,18-Jul-18,维修,机能件,电器
67699WHEE9,转向信号灯继电器,B-SEDAN,20-Sep-02,维修,机能件,电器
66612XD4E9,天线,B-SEDAN,18-Mar-14,维修,机能件,电器
6743733607,接头,B-SUV,17-Oct-01,维修,机能件,电器
623884TJS8,风扇叶,B-SEDAN,10-Jan-18,维修,机能件,电器
6638344ED9,冷却风扇电机,A0-SEDAN,27-May-15,维修,机能件,电器
643834E7E9,风扇电机,B-SEDAN,10-Jul-13,维修,机能件,电器
653834E5L9,风扇电机,B-SEDAN,10-Jul-13,维修,机能件,电器
673834B3N9,风扇电机,B-MPV,5-Jun-14,维修,机能件,电器
673833E9E9,风扇电机,B-SEDAN,10-Jan-18,维修,机能件,电器
64383V39Y9,风扇电机,B-SEDAN,17-Oct-07,维修,机能件,电器
65383VV7L9,风扇电机,A-SEDAN,14-Oct-08,维修,机能件,电器
663803E9E9,风扇电机保护器,B-SEDAN,10-Jan-18,维修,机能件,电器
69190XLEL5,BCM单元组件,B-SUV,5-Aug-16,维修,机能件,电器
61190XZEL2,ＢＣＭ单元组件,B-SEDAN,16-Dec-20,维修,机能件,电器
660993E8L9,离合器组件,B-SEDAN,10-Jan-18,维修,机能件,电器
62079TAE49,压缩机皮带,A0-SEDAN,16-Jan-04,维修,易损件,电器
62079VEEE9,压缩机皮带,B-SEDAN,31-Oct-05,维修,易损件,电器
61079VGEE9,压缩机皮带,B-SEDAN,30-Jul-02,维修,易损件,电器
67896XE9E6,音量旋钮,B-SUV,17-Oct-07,维修,机能件,电器
65894XE9E6,旋钮,B-SUV,17-Oct-07,维修,机能件,电器
66884XZEE6,ＵＳＢ固定座,B-SEDAN,13-Jan-18,维修,机能件,电器
61884XDVL9,连接器固定座,A0-SEDAN,5-Jun-20,维修,机能件,电器
66883X4EL9,USB总成线束,A0-SEDAN,14-Jun-16,维修,机能件,电器
65879X7EE7,喇叭总成,B-SEDAN,10-Jul-13,维修,机能件,电器
68879X0EX9,喇叭总成,A0-SEDAN,18-Mar-14,维修,机能件,电器
61879XFEE9,扬声器总成,B-SEDAN,16-May-16,维修,机能件,电器
64879XFXL9,扬声器,A-SEDAN,19-Jul-18,维修,机能件,电器
64859XLEL9,喇叭总成,B-SUV,5-Aug-16,维修,机能件,电器
61789XZEE9,ＡＮＣ麦克风总成,A-SEDAN,23-Jul-20,维修,机能件,电器
65487X0EX6,天线杆,A0-SEDAN,18-Mar-14,维修,钣金件,电器
67469X7EY7,后视摄像头,B-SEDAN,21-Jan-16,维修,机能件,电器
67319WHET9,倒车雷达传感器,B-SEDAN,17-Oct-07,维修,机能件,电器
66319WQKL9,倒车雷达传感器,B-MPV,17-Jun-09,维修,机能件,电器
64319WAIL9,倒车雷达传感器,A-SEDAN,9-Apr-13,维修,机能件,电器
68319X9EV9,倒车雷达传感器,B-MPV,31-May-18,维修,机能件,电器
69319X9EV5,倒车雷达传感器,B-SEDAN,21-Jan-16,维修,机能件,电器
68319X9EV5,倒车雷达传感器,B-SEDAN,13-Jan-18,维修,机能件,电器
68319XIBC5,倒车雷达传感器,B-SEDAN,16-May-16,维修,机能件,电器
69319XIBC5,倒车雷达传感器,A-SEDAN,19-Jul-18,维修,机能件,电器
65319XP1E8,倒车雷达传感器,B-SUV,4-Jun-10,维修,机能件,电器
69319XP1E8,倒车雷达传感器,B-SUV,4-Jun-10,维修,机能件,电器
63319XR9L9,倒车雷达传感器,A0-SEDAN,23-Oct-08,维修,机能件,电器
62319XZ9I9,倒车雷达传感器,B-MPV,27-Aug-14,维修,机能件,电器
62319XZ9I9,倒车雷达传感器,A0-SUV,18-Mar-14,维修,机能件,电器
67319XZ9I8,倒车雷达传感器,B-MPV,15-Nov-18,维修,机能件,电器
68319XZEL9,倒车雷达传感器,B-SEDAN,13-Jan-18,维修,机能件,电器
62319XB5E9,倒车雷达传感器,A-SEDAN,20-Aug-15,维修,机能件,电器
63318X4EL9,固定扣,A0-SEDAN,18-Mar-14,维修,机能件,电器
68318X4EL9,固定扣,A0-SEDAN,18-Mar-14,维修,机能件,电器
69318X3HL9,固定扣,B-MPV,3-Jun-14,维修,机能件,电器
63318X3HL9,固定扣,B-MPV,3-Jun-14,维修,机能件,电器
68318X3TA9,固定扣,A-SEDAN,20-Aug-15,维修,机能件,电器
69318XQ9K9,固定扣,B-SUV,4-Jun-10,维修,机能件,电器
67316X9EU9,固定扣,B-MPV,3-Jun-14,维修,机能件,电器
66316X3ES9,保险杠雷达支架,B-MPV,31-May-18,维修,机能件,电器
62316X3ES8,雷达支架,B-MPV,21-Feb-19,维修,机能件,电器
67316X3ES8,雷达支架,B-MPV,21-Feb-19,维修,机能件,电器
63316XZEL9,后保险杠两侧雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
65316XZEL9,后保险杠两侧雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
63316XZEL9,后保险杠两侧雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
64315X3ES9,后保险杠雷达支架,B-MPV,31-May-18,维修,机能件,电器
68315X3ES9,后保险杠雷达支架,B-MPV,31-May-18,维修,机能件,电器
68315XZEL9,后保险杠中间雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
64315XZEL9,后保险杠中间雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
68315XZEL9,后保险杠中间雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
62315XZEL9,后保险杠中间雷达支架,B-SEDAN,28-Mar-18,维修,机能件,电器
62314WQKL9,倒车雷达传感器,B-MPV,17-Jun-09,维修,机能件,电器
67312WQKL9,固定扣,B-MPV,17-Jun-09,维修,机能件,电器
65309WHET9,倒车雷达传感器,B-SEDAN,17-Oct-07,维修,机能件,电器
66309WHET9,倒车雷达传感器,B-SEDAN,17-Oct-07,维修,机能件,电器
61309WHET9,倒车雷达传感器,B-SEDAN,17-Oct-07,维修,机能件,电器
65309XR9L9,倒车雷达传感器,A0-SEDAN,23-Oct-08,维修,机能件,电器
68309XR9L9,倒车雷达传感器,A0-SEDAN,23-Oct-08,维修,机能件,电器
69309XR9L9,倒车雷达传感器,A0-SEDAN,23-Oct-08,维修,机能件,电器
64307WQKL9,固定扣,B-MPV,17-Jun-09,维修,机能件,电器
68288X7EE9,中央显示屏外罩,B-SEDAN,10-Jul-13,维修,机能件,电器
51899X3GS9,后轴梁总成,B-MPV,26-May-16,维修,易损件,易损件
55899X2NL9,后轴梁总成,A0-SUV,17-Sep-14,维修,易损件,易损件
